0.312194112 10.0.0.2:5001 10.0.0.1:56451 1480 0x80340eb 0x80340eb 10 2147483647 29696 2 391168
0.314476218 10.0.0.1:56451 10.0.0.2:5001 32 0xed0979b7 0xed070037 113 105 391168 31 29696
0.315828865 10.0.0.2:5001 10.0.0.1:56451 1480 0x80340eb 0x80340eb 10 2147483647 29696 2 399872
0.318071087 10.0.0.1:56451 10.0.0.2:5001 32 0xed099057 0xed07112f 113 105 399872 31 29696
0.319462597 10.0.0.2:5001 10.0.0.1:56451 1480 0x80340eb 0x80340eb 10 2147483647 29696 2 408576
0.321722405 10.0.0.1:56451 10.0.0.2:5001 32 0xed09a6f7 0xed072227 114 105 408576 32 29696
0.323093268 10.0.0.2:5001 10.0.0.1:56451 1480 0x80340eb 0x80340eb 10 2147483647 29696 2 417280
0.325373134 10.0.0.1:56451 10.0.0.2:5001 32 0xed09b247 0xed07331f 114 105 417280 32 29696
0.326728229 10.0.0.2:5001 10.0.0.1:56451 1480 0x80340eb 0x80340eb 10 2147483647 29696 2 425984
0.328969995 10.0.0.1:56451 10.0.0.2:5001 32 0xed09c8e7 0xed074417 114 105 425984 32 29696
0.331604913 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 437760
0.333849613 10.0.0.1:56451 10.0.0.2:5001 32 0xed09df87 0xed075ab7 114 105 437760 32 29696
0.335234929 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 446464
0.337498966 10.0.0.1:56451 10.0.0.2:5001 32 0xed09f627 0xed076baf 115 105 446464 32 29696
0.338866066 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 455168
0.341033187 10.0.0.1:56451 10.0.0.2:5001 32 0xed0a0177 0xed077ca7 115 105 455168 33 29696
0.341260804 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 460800
0.343430466 10.0.0.1:56451 10.0.0.2:5001 32 0xed0a0cc7 0xed0787f7 115 105 460800 33 29696
0.343681235 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 466432
0.345884717 10.0.0.1:56451 10.0.0.2:5001 32 0xed0a1817 0xed079347 115 105 466432 32 29696
0.346105025 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 472064
0.348233009 10.0.0.1:56451 10.0.0.2:5001 32 0xed0a2367 0xed079e97 115 105 472064 33 29696
0.348529448 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 478208
0.350730316 10.0.0.1:56451 10.0.0.2:5001 32 0xed0a2eb7 0xed07a9e7 115 105 478208 32 29696
0.350949849 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 483840
0.353141024 10.0.0.1:56451 10.0.0.2:5001 32 0xed0a3a07 0xed07b537 115 105 483840 32 29696
0.353377659 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 489472
0.355566725 10.0.0.1:56451 10.0.0.2:5001 32 0xed0a50a7 0xed07c087 116 105 489472 33 29696
0.355795995 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 495616
0.357991235 10.0.0.1:56451 10.0.0.2:5001 32 0xed0a5bf7 0xed07cbd7 116 105 495616 32 29696
0.358217837 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 501248
0.360417565 10.0.0.1:56451 10.0.0.2:5001 32 0xed0a6747 0xed07d727 116 105 501248 33 29696
0.360640511 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 506880
0.362834556 10.0.0.1:56451 10.0.0.2:5001 32 0xed0a7297 0xed07e277 116 105 506880 33 29696
0.363061844 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 513024
0.365258729 10.0.0.1:56451 10.0.0.2:5001 32 0xed0a7de7 0xed07edc7 116 105 513024 33 29696
0.365485230 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 518656
0.367660550 10.0.0.1:56451 10.0.0.2:5001 32 0xed0a8937 0xed07f917 116 105 518656 33 29696
0.367908683 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 524288
0.370075576 10.0.0.1:56451 10.0.0.2:5001 32 0xed0a9487 0xed080467 116 105 524288 33 29696
0.370330219 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 530432
0.372533009 10.0.0.1:56451 10.0.0.2:5001 32 0xed0a9fd7 0xed080fb7 117 105 530432 33 29696
0.372751946 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 536064
0.374987375 10.0.0.1:56451 10.0.0.2:5001 32 0xed0aab27 0xed081b07 117 105 536064 33 29696
0.375115878 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 541696
0.377375701 10.0.0.1:56451 10.0.0.2:5001 32 0xed0ab677 0xed082657 117 105 541696 33 29696
0.377596432 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 547840
0.379797914 10.0.0.1:56451 10.0.0.2:5001 32 0xed0ac1c7 0xed0831a7 117 105 547840 33 29696
